
Program : train.py

Argument :
ep                       100
size                     48
lr                       0.05
bs                       32
load                     None
save                     tmp.weight
show                     1
site                     0

Validatoin 3.845 3.83%

Epoch :  0
Training 3.665 10.27%
Validatoin 3.842 3.45%

Epoch :  1
Training 3.254 17.41%
Validatoin 4.158 3.45%

Epoch :  2
Training 3.185 19.64%
Validatoin 4.072 7.28%

Epoch :  3
Training 2.681 31.70%
Validatoin 4.742 5.75%

Epoch :  4
Training 2.628 37.05%
Validatoin 4.473 5.75%

Epoch :  5
Training 2.522 39.29%
Validatoin 4.676 6.90%

Epoch :  6
Training 2.328 41.07%
Validatoin 4.733 6.51%

Epoch :  7
Training 1.997 53.57%
Validatoin 5.043 8.05%

Epoch :  8
Training 2.018 50.45%
Validatoin 4.929 4.98%

Epoch :  9
Training 1.936 53.57%
Validatoin 4.718 14.18%

Epoch : 10
Training 1.715 59.82%
Validatoin 6.849 6.51%

Epoch : 11
Training 1.844 56.25%
Validatoin 5.176 8.81%

Epoch : 12
Training 1.719 64.73%
Validatoin 5.284 9.96%

Epoch : 13
Training 1.601 64.29%
Validatoin 5.239 10.73%

Epoch : 14
Training 1.342 63.39%
Validatoin 5.423 10.73%

Epoch : 15
Training 1.347 65.62%
Validatoin 5.832 8.05%

Epoch : 16
Training 1.144 75.00%
Validatoin 5.526 13.79%

Epoch : 17
Training 1.225 69.64%
Validatoin 5.815 9.96%

Epoch : 18
Training 1.329 68.75%
Validatoin 6.906 9.20%

Epoch : 19
Training 1.436 67.41%
Validatoin 5.478 12.64%

Epoch : 20
Training 0.912 79.91%
Validatoin 6.090 12.64%

Epoch : 21
Training 0.925 78.12%
Validatoin 6.217 13.79%

Epoch : 22
Training 1.131 72.32%
Validatoin 6.094 13.41%

Epoch : 23
Training 1.147 73.66%
Validatoin 5.773 15.71%

Epoch : 24
Training 0.957 75.89%
Validatoin 6.106 13.03%

Epoch : 25
Training 0.996 76.79%
Validatoin 6.223 14.56%

Epoch : 26
Training 1.022 76.34%
Validatoin 6.447 16.09%

Epoch : 27
Training 0.899 76.79%
Validatoin 6.707 14.56%

Epoch : 28
Training 0.838 79.91%
Validatoin 6.720 13.79%

Epoch : 29
Training 0.662 87.05%
Validatoin 7.131 14.56%

Epoch : 30
Training 0.854 79.46%
Validatoin 7.185 15.71%

Epoch : 31
Training 0.885 78.57%
Validatoin 7.026 15.71%

Epoch : 32
Training 0.670 86.61%
Validatoin 7.027 12.26%

Epoch : 33
Training 0.647 84.82%
Validatoin 7.162 17.62%

Epoch : 34
Training 0.464 89.73%
Validatoin 7.116 17.24%

Epoch : 35
Training 0.613 83.48%
Validatoin 7.423 14.94%

Epoch : 36
Training 0.626 84.82%
Validatoin 7.369 16.09%

Epoch : 37
Training 0.793 79.91%
Validatoin 7.913 14.94%

Epoch : 38
Training 0.568 86.61%
Validatoin 7.110 15.33%

Epoch : 39
Training 0.470 87.50%
Validatoin 7.874 17.24%

Epoch : 40
Training 0.720 82.59%
Validatoin 7.117 18.77%

Epoch : 41
Training 0.487 88.84%
Validatoin 7.475 16.48%

Epoch : 42
Training 0.599 85.27%
Validatoin 7.068 17.24%

Epoch : 43
Training 0.367 92.86%
Validatoin 7.010 20.31%

Epoch : 44
Training 0.328 92.86%
Validatoin 7.447 19.16%

Epoch : 45
Training 0.371 91.07%
Validatoin 7.605 18.77%

Epoch : 46
Training 0.497 87.95%
Validatoin 7.511 19.16%

Epoch : 47
Training 0.470 90.18%
Validatoin 7.847 18.39%

Epoch : 48
Training 0.496 87.50%
Validatoin 8.009 19.16%

Epoch : 49
Training 0.347 93.30%
Validatoin 8.084 19.92%

Epoch : 50
Training 0.425 88.39%
Validatoin 8.059 19.92%

Epoch : 51
Training 0.260 94.64%
Validatoin 8.142 22.22%

Epoch : 52
Training 0.362 91.07%
Validatoin 8.210 18.77%

Epoch : 53
Training 0.291 92.86%
Validatoin 8.302 21.46%

Epoch : 54
Training 0.338 92.86%
Validatoin 8.364 19.54%

Epoch : 55
Training 0.309 95.54%
Validatoin 9.676 18.39%

Epoch : 56
Training 0.570 88.84%
Validatoin 7.847 21.84%

Epoch : 57
Training 0.358 89.29%
Validatoin 7.903 23.37%

Epoch : 58
Training 0.277 95.54%
Validatoin 7.994 22.22%

Epoch : 59
Training 0.317 92.86%
Validatoin 8.227 18.77%

Epoch : 60
Training 0.263 95.09%
Validatoin 8.563 21.46%

Epoch : 61
Training 0.268 95.09%
Validatoin 8.397 21.46%

Epoch : 62
Training 0.308 93.30%
Validatoin 8.646 20.69%

Epoch : 63
Training 0.268 94.20%
Validatoin 8.400 23.37%

Epoch : 64
Training 0.214 96.43%
Validatoin 8.447 21.46%

Epoch : 65
Training 0.277 94.64%
Validatoin 8.576 20.31%

Epoch : 66
Training 0.256 95.09%
Validatoin 8.589 20.69%

Epoch : 67
Training 0.241 95.54%
Validatoin 8.635 22.99%

Epoch : 68
Training 0.249 96.43%
Validatoin 8.767 25.29%

Epoch : 69
Training 0.216 96.88%
Validatoin 8.884 21.46%

Epoch : 70
Training 0.176 96.43%
Validatoin 9.155 22.61%

Epoch : 71
Training 0.132 98.66%
Validatoin 9.069 24.14%

Epoch : 72
Training 0.238 96.88%
Validatoin 9.215 21.07%

Epoch : 73
Training 0.164 94.64%
Validatoin 9.057 21.84%

Epoch : 74
Training 0.200 95.54%
Validatoin 9.256 20.31%

Epoch : 75
Training 0.188 95.98%
Validatoin 9.542 17.62%

Epoch : 76
Training 0.235 94.20%
Validatoin 9.372 22.22%

Epoch : 77
Training 0.203 95.54%
Validatoin 9.429 22.61%

Epoch : 78
Training 0.135 98.21%
Validatoin 9.418 22.22%

Epoch : 79
Training 0.163 96.88%
Validatoin 9.404 23.75%

Epoch : 80
Training 0.136 96.43%
Validatoin 9.509 19.16%

Epoch : 81
Training 0.163 97.77%
Validatoin 9.506 22.61%

Epoch : 82
Training 0.098 98.66%
Validatoin 9.555 22.61%

Epoch : 83
Training 0.126 97.32%
Validatoin 9.624 25.29%

Epoch : 84
Training 0.092 99.11%
Validatoin 9.799 24.14%

Epoch : 85
Training 0.306 92.41%
Validatoin 11.762 17.62%

Epoch : 86
Training 0.902 85.27%
Validatoin 8.823 23.75%

Epoch : 87
Training 0.775 83.93%
Validatoin 8.402 20.69%

Epoch : 88
Training 0.229 94.64%
Validatoin 8.270 21.07%

Epoch : 89
Training 0.187 95.98%
Validatoin 8.371 21.84%

Epoch : 90
Training 0.155 96.43%
Validatoin 8.154 21.46%

Epoch : 91
Training 0.151 96.88%
Validatoin 8.863 23.37%

Epoch : 92
Training 0.151 98.21%
Validatoin 8.345 25.29%

Epoch : 93
Training 0.129 96.88%
Validatoin 8.335 24.14%

Epoch : 94
Training 0.137 97.32%
Validatoin 8.474 22.61%

Epoch : 95
Training 0.080 98.21%
Validatoin 8.461 22.61%

Epoch : 96
Training 0.118 97.32%
Validatoin 8.414 24.14%

Epoch : 97
Training 0.107 98.66%
Validatoin 8.490 22.99%

Epoch : 98
Training 0.118 98.21%
Validatoin 8.642 22.22%

Epoch : 99
Training 0.092 97.77%
Validatoin 8.665 21.07%
