
Program : train.py

Argument :
ep                       100
size                     48
lr                       0.05
bs                       32
load                     None
save                     tmp.weight
show                     1
site                     1

Validatoin 3.782 1.53%

Epoch :  0
Training 3.568 7.03%
Validatoin 3.891 1.15%

Epoch :  1
Training 3.211 20.31%
Validatoin 4.283 1.92%

Epoch :  2
Training 3.174 19.92%
Validatoin 4.204 2.68%

Epoch :  3
Training 2.460 41.41%
Validatoin 4.558 3.07%

Epoch :  4
Training 2.565 40.62%
Validatoin 4.536 4.60%

Epoch :  5
Training 2.214 44.92%
Validatoin 4.435 4.98%

Epoch :  6
Training 2.227 51.95%
Validatoin 4.443 3.83%

Epoch :  7
Training 1.751 59.38%
Validatoin 5.028 6.51%

Epoch :  8
Training 1.725 53.52%
Validatoin 4.892 5.36%

Epoch :  9
Training 1.406 67.58%
Validatoin 4.869 6.90%

Epoch : 10
Training 1.476 63.67%
Validatoin 5.539 6.13%

Epoch : 11
Training 1.480 71.88%
Validatoin 4.914 8.81%

Epoch : 12
Training 1.474 63.28%
Validatoin 5.334 7.28%

Epoch : 13
Training 0.904 76.95%
Validatoin 5.365 11.88%

Epoch : 14
Training 0.882 77.73%
Validatoin 5.538 9.58%

Epoch : 15
Training 1.105 74.61%
Validatoin 5.448 11.49%

Epoch : 16
Training 0.898 77.73%
Validatoin 5.646 13.03%

Epoch : 17
Training 0.996 79.30%
Validatoin 5.712 10.34%

Epoch : 18
Training 0.974 78.52%
Validatoin 5.152 14.94%

Epoch : 19
Training 0.770 76.95%
Validatoin 5.513 11.49%

Epoch : 20
Training 0.707 82.03%
Validatoin 5.286 14.56%

Epoch : 21
Training 0.946 75.78%
Validatoin 6.750 9.96%

Epoch : 22
Training 1.177 77.73%
Validatoin 4.759 14.94%

Epoch : 23
Training 0.628 85.16%
Validatoin 5.149 14.94%

Epoch : 24
Training 0.563 88.28%
Validatoin 5.803 11.49%

Epoch : 25
Training 0.614 85.16%
Validatoin 5.706 15.71%

Epoch : 26
Training 0.716 82.03%
Validatoin 5.269 16.86%

Epoch : 27
Training 0.550 85.55%
Validatoin 5.416 19.16%

Epoch : 28
Training 0.376 91.02%
Validatoin 5.678 16.86%

Epoch : 29
Training 0.389 89.06%
Validatoin 5.669 16.09%

Epoch : 30
Training 0.641 84.77%
Validatoin 5.943 13.79%

Epoch : 31
Training 0.474 87.50%
Validatoin 5.667 20.69%

Epoch : 32
Training 0.486 87.89%
Validatoin 5.648 19.92%

Epoch : 33
Training 0.343 92.58%
Validatoin 5.924 18.39%

Epoch : 34
Training 0.393 91.41%
Validatoin 6.025 18.39%

Epoch : 35
Training 0.354 91.80%
Validatoin 6.242 15.71%

Epoch : 36
Training 0.308 91.80%
Validatoin 6.661 16.09%

Epoch : 37
Training 0.441 88.28%
Validatoin 6.489 18.39%

Epoch : 38
Training 0.366 89.84%
Validatoin 6.768 17.62%

Epoch : 39
Training 0.383 91.02%
Validatoin 6.300 17.24%

Epoch : 40
Training 0.380 90.62%
Validatoin 6.355 16.86%

Epoch : 41
Training 0.328 91.02%
Validatoin 6.516 23.75%

Epoch : 42
Training 0.420 89.45%
Validatoin 6.637 18.39%

Epoch : 43
Training 0.231 94.92%
Validatoin 6.596 21.46%

Epoch : 44
Training 0.266 93.36%
Validatoin 6.587 22.22%

Epoch : 45
Training 0.258 93.36%
Validatoin 6.588 20.69%

Epoch : 46
Training 0.320 90.62%
Validatoin 6.711 23.37%

Epoch : 47
Training 0.330 89.06%
Validatoin 7.209 18.39%

Epoch : 48
Training 0.335 92.19%
Validatoin 6.840 18.77%

Epoch : 49
Training 0.358 91.80%
Validatoin 11.738 13.41%

Epoch : 50
Training 1.427 83.20%
Validatoin 5.328 18.77%

Epoch : 51
Training 0.286 94.92%
Validatoin 5.308 22.99%

Epoch : 52
Training 0.301 91.41%
Validatoin 5.722 20.69%

Epoch : 53
Training 0.289 91.80%
Validatoin 5.606 25.29%

Epoch : 54
Training 0.200 94.53%
Validatoin 5.713 21.84%

Epoch : 55
Training 0.361 88.67%
Validatoin 6.046 21.84%

Epoch : 56
Training 0.260 96.09%
Validatoin 5.983 22.99%

Epoch : 57
Training 0.180 95.70%
Validatoin 6.325 19.16%

Epoch : 58
Training 0.282 93.36%
Validatoin 6.528 19.54%

Epoch : 59
Training 0.294 90.23%
Validatoin 6.328 19.92%

Epoch : 60
Training 0.181 95.31%
Validatoin 6.197 25.29%

Epoch : 61
Training 0.231 94.92%
Validatoin 6.477 21.84%

Epoch : 62
Training 0.189 94.53%
Validatoin 6.503 24.14%

Epoch : 63
Training 0.207 94.92%
Validatoin 6.539 24.14%

Epoch : 64
Training 0.148 97.27%
Validatoin 6.660 25.29%

Epoch : 65
Training 0.093 99.22%
Validatoin 6.805 27.97%

Epoch : 66
Training 0.186 96.88%
Validatoin 6.684 24.90%

Epoch : 67
Training 0.137 96.09%
Validatoin 6.786 24.90%

Epoch : 68
Training 0.132 97.66%
Validatoin 6.798 26.05%

Epoch : 69
Training 0.178 97.27%
Validatoin 6.844 25.67%

Epoch : 70
Training 0.116 97.66%
Validatoin 6.881 25.67%

Epoch : 71
Training 0.095 98.05%
Validatoin 7.064 23.75%

Epoch : 72
Training 0.168 94.92%
Validatoin 7.234 20.69%

Epoch : 73
Training 0.118 96.88%
Validatoin 7.155 24.90%

Epoch : 74
Training 0.185 94.53%
Validatoin 7.137 24.14%

Epoch : 75
Training 0.186 95.31%
Validatoin 7.178 26.44%

Epoch : 76
Training 0.136 96.48%
Validatoin 7.297 23.75%

Epoch : 77
Training 0.102 98.44%
Validatoin 7.307 24.14%

Epoch : 78
Training 0.165 96.09%
Validatoin 7.255 26.44%

Epoch : 79
Training 0.136 94.53%
Validatoin 7.455 24.90%

Epoch : 80
Training 0.097 98.05%
Validatoin 7.336 26.05%

Epoch : 81
Training 0.079 97.66%
Validatoin 7.403 27.20%

Epoch : 82
Training 0.169 96.09%
Validatoin 7.673 21.46%

Epoch : 83
Training 0.093 98.05%
Validatoin 7.505 25.67%

Epoch : 84
Training 0.077 98.44%
Validatoin 7.442 25.67%

Epoch : 85
Training 0.058 99.22%
Validatoin 7.672 25.29%

Epoch : 86
Training 0.100 96.09%
Validatoin 7.632 25.67%

Epoch : 87
Training 0.268 94.14%
Validatoin 7.940 24.52%

Epoch : 88
Training 0.147 95.31%
Validatoin 8.371 22.22%

Epoch : 89
Training 0.126 96.48%
Validatoin 7.639 24.90%

Epoch : 90
Training 0.219 94.14%
Validatoin 7.411 23.37%

Epoch : 91
Training 0.242 94.14%
Validatoin 7.271 23.37%

Epoch : 92
Training 0.213 95.70%
Validatoin 6.960 27.20%

Epoch : 93
Training 0.111 96.88%
Validatoin 7.103 23.75%

Epoch : 94
Training 0.160 94.92%
Validatoin 7.004 26.05%

Epoch : 95
Training 0.168 95.31%
Validatoin 7.174 24.52%

Epoch : 96
Training 0.097 98.44%
Validatoin 6.975 26.82%

Epoch : 97
Training 0.087 98.44%
Validatoin 7.119 25.29%

Epoch : 98
Training 0.160 96.09%
Validatoin 7.260 26.82%

Epoch : 99
Training 0.073 99.22%
Validatoin 7.177 25.67%
